Model,Price (EGP),Rating
ابل ايفون XS ماكس مع فيس تايم - 256 جيجا، الجيل الرابع ال تي اي، رمادي، 4 جيجا رام، شريحة واحدة و E-Sim,"23,333.‎",3.8 من 5 نجوم
موبايل ابل ايفون XS Max بخاصية فيس تايم - 256 جيجابايت، ذهبي، بشريحتين .,"23,333.‎",2.6 من 5 نجوم
جراب حماية من السيليكون السائل مضاد للصدمات ورفيع مضاد للخدش ببطانة مايكروفايبر ناعمة - اخضر من دلع موبايلك لموبايل ايفون X/ايفون XS - ابيض,120.‎,4.2 من 5 نجوم
ماجيك كيبل USB C الى لايتنينج [معتمد من ابل] [6 قدم، عبوتان] شاحن ايفون 11 طويل بي دي للشحن السريع لايفون 11/11 برو/11 برو ماكس/اكس/اكس اس/اكس ار/اكس اس/8/8 بلس، يدعم توصيل الطاقة,449.‎,4.0 من 5 نجوم
موبايل جالكسي S24 الترا الذكي من سامسونج، 512GB بالذكاء الاصطناعي بنظام أندرويد غير مقفل بدقة 200MP وكاميرا تكبير 100x وعمر بطارية طويل وقلم S إصدار أمريكي 2024، أسود تيتانيوم، بشريحتين,"59,950.‎",4.4 من 5 نجوم
جراب مغناطيسي شفاف مصمم لموبايل ايفون Xs ماكس - متوافق مع شاحن ماج سيف، يدعم الشحن اللاسلكي المغناطيسي لقاعدة تثبيت السيارة، البولي كربونات,105.‎,4.1 من 5 نجوم
جراب حماية خلفي بلاستيك لموبايل أبل أيفون XS ماكس، شفاف، Mms-1، لايفون اكس اس ماكس,80.‎,N/A
جراب من بلاستيك حماية شفاف من كينج كونج مضاد للصدمات لموبايل ايفون XS ماكس من ابل، 6.5 بوصة,75.‎,3.5 من 5 نجوم
جراب سيليكون لموبايل ايفون X من ديوديو، جراب حماية رفيع للموبايل بالكامل من المطاط وجل السيليكون المرن ومضاد للصدمات والبصمات لموبايل ايفون X/XS مقاس 5.8 بوصة، لون اسود,90.‎,4.3 من 5 نجوم
جراب اي فون x xs max من السيليكون مع طبقة داخلية من المايكروفايبر متوافق مع ايفون xs ماكس ازرق، مصد,75.‎,N/A
جرابات موبايل مطبوعة بتصميمات حسب الطلب، جرابات حماية بتصميم الرموز المميزة لعالم الساحر هاري بوتر (ازرق) (متوفرة لكل موديل موبايل) (ايفون XS ماكس)، البولي يوريثين الحراري,199.‎,N/A
جراب خلفي بطباعة باتمان لوجو لهاتف ابل ايفون اكس- اكس اس من كايس بوكس، البولي كربونات، متعدد الالوان,109.‎,N/A
كابل شحن USB نوع سي إلى نوع سي لموبايل آيفون سلسلة X-11-12-13-14، كابل شحن سريع 20 وات، كابل متوافق مع آيفون 14 برو إلى 14 برو ماكس، 1 متر، لهاتف ذكي,136.‎,N/A
جراب خلفي بطباعة باتمان لهاتف ابل ايفون اكس / اكس اس من كايس بوكس، متعدد الالوان، البولي كربونات,109.‎,N/A
كابل شاحن ايفون بطول 2 متر، 3 قطع [معتمد من ابل] كابل لايتنينج إلى USB بطول 2 متر، كابل شحن سريع من ابل طويل لأجهزة ايفون 12/ 11 برو/ 11/ XS ماكس/ XR/8/7/6s/6/5S/SE ايباد/ اير/ ميني أصلي (2 متر),464.‎,4.4 من 5 نجوم
سماعة داخل الأذن اذن سلكية ستيريو مع ميكروفون وتحكم في مستوى الصوت، متوافق مع ايفون 13-12-11-7-8-8 بلس X-Xs-XR-Xs ماكس-برو-اس اي ايباد جميع أنظمة ios. بيضاء جديدة جيدة، IP-1,253.‎,2.6 من 5 نجوم
كابل شحن سريع من يوجرين لايفون 12 ميني/ 12/ 12 برو/ 12 برو ماكس معتمد من ابل مضفر USB-C الى لايتنينج 18 وات لايفون 11/ 11 برو/ 11 برو ماكس/ اكس/ اكس اس/ اكس ار/ اكس اس ماكس/ 8/ ايباد برو- 1 متر- اخضر,645.‎,4.7 من 5 نجوم
جراب ضهر موبايل ازرق لموبايل ايفون ابل كريستال كلير سيريز بريميوم جراب حماية تي بي يو لموبايل ابل ايفون XS ماكس كريستال كلير جودة فائقة، سيليكون,129.‎,N/A
شاحن لايتنينج بكابل USB لموبايل ايفون الاصلي، 3 عبوات (معتمد من ابل) متوافق مع ايفون 14/13/12/11 برو بلس/11/XS/ماكس/XR/8/7/6s/6/بلس، اي باد برو/ اير/ ميني، اي بود تاتش,200.‎,4.5 من 5 نجوم
اغطية موبايل مطبوعة بتصميم مخصص عالي الجودة (لكل موديل جوال) من هاري بوتا ويزاردينج وورلد (ازرق داكن - اسود) (ايفون اكس اس ماكس)، البولي يوريثين الحراري، حافظة بسيطة,199.‎,N/A
جراب خلفي بلوجو فاخر وتصميم فتحة ذهبي مع حماية للعدسة من بولي يوريثين المقاوم للحرارة الناعم لموبايل ايفون XS ماكس (اسود),120.‎,4.6 من 5 نجوم
ابل ايفون 14 الجديد (128 جيجابايت) ازرق، بشريحتين,"35,750.‎",4.7 من 5 نجوم
جراب موبايل مطاطي مصنوع من جل السيليكون السائل لموبايل ايفون X/ ايفون Xs 5.8 بوصة من اوكسول، جراب للموبايل بالكامل بتصميم نحيف وناعم مع بطانة من المايكروفايبر (اخضر مينت فاتح),150.‎,4.5 من 5 نجوم
"شاحن USB نوع C 20 وات مع كابل من النوع C من طرف والطرف الآخر منفذ ايفون، لون ابيض 2725612108217، يو اس بي , عدد 1",195.‎,3.4 من 5 نجوم
انبوب انكماش حراري لحماية واصلاح الكابلات، (متوافق مع كابلات اندورا) طول 1 متر وقطر داخلي 12 ملم، لون ازرق,35.‎,4.1 من 5 نجوم
